azimuth_deg,horizon_altitude_deg,distance_m,x,y,z,valid_samples,status
29.1,0.0,,,,,0,NO_VALID_DSM
29.2,0.0,,,,,0,NO_VALID_DSM
29.3,0.0,,,,,0,NO_VALID_DSM
29.4,0.0,,,,,0,NO_VALID_DSM
29.5,0.0,,,,,0,NO_VALID_DSM
29.6,0.0,,,,,0,NO_VALID_DSM
29.7,0.0,,,,,0,NO_VALID_DSM
29.8,0.0,,,,,0,NO_VALID_DSM
29.9,0.0,,,,,0,NO_VALID_DSM
30.0,0.0,,,,,0,NO_VALID_DSM
30.1,0.0,,,,,0,NO_VALID_DSM
30.2,0.0,,,,,0,NO_VALID_DSM
30.3,0.0,,,,,0,NO_VALID_DSM
30.4,0.0,,,,,0,NO_VALID_DSM
30.5,0.0,,,,,0,NO_VALID_DSM
30.6,0.0,,,,,0,NO_VALID_DSM
30.7,0.0,,,,,0,NO_VALID_DSM
30.8,0.0,,,,,0,NO_VALID_DSM
30.9,0.0,,,,,0,NO_VALID_DSM
31.0,0.0,,,,,0,NO_VALID_DSM
31.1,0.0,,,,,0,NO_VALID_DSM
31.2,0.0,,,,,0,NO_VALID_DSM
31.3,0.0,,,,,0,NO_VALID_DSM
31.4,0.0,,,,,0,NO_VALID_DSM
31.5,0.0,,,,,0,NO_VALID_DSM
31.6,0.0,,,,,0,NO_VALID_DSM
31.7,0.0,,,,,0,NO_VALID_DSM
31.8,0.0,,,,,0,NO_VALID_DSM
31.9,0.0,,,,,0,NO_VALID_DSM
32.0,0.0,,,,,0,NO_VALID_DSM
32.1,0.0,,,,,0,NO_VALID_DSM
32.2,0.0,,,,,0,NO_VALID_DSM
32.3,0.0,,,,,0,NO_VALID_DSM
32.4,0.0,,,,,0,NO_VALID_DSM
32.5,0.0,,,,,0,NO_VALID_DSM
32.6,0.0,,,,,0,NO_VALID_DSM
32.7,0.0,,,,,0,NO_VALID_DSM
32.8,0.0,,,,,0,NO_VALID_DSM
32.9,0.0,,,,,0,NO_VALID_DSM
33.0,0.0,,,,,0,NO_VALID_DSM
33.1,0.0,,,,,0,NO_VALID_DSM
33.2,0.0,,,,,0,NO_VALID_DSM
33.3,0.0,,,,,0,NO_VALID_DSM
33.4,0.0,,,,,0,NO_VALID_DSM
33.5,0.0,,,,,0,NO_VALID_DSM
33.6,0.0,,,,,0,NO_VALID_DSM
33.7,0.0,,,,,0,NO_VALID_DSM
33.8,0.0,,,,,0,NO_VALID_DSM
33.9,0.0,,,,,0,NO_VALID_DSM
34.0,0.0,,,,,0,NO_VALID_DSM
34.1,0.0,,,,,0,NO_VALID_DSM
34.2,0.0,,,,,0,NO_VALID_DSM
34.3,0.0,,,,,0,NO_VALID_DSM
34.4,0.0,,,,,0,NO_VALID_DSM
34.5,0.0,,,,,0,NO_VALID_DSM
34.6,0.0,,,,,0,NO_VALID_DSM
34.7,0.0,,,,,0,NO_VALID_DSM
34.8,0.0,,,,,0,NO_VALID_DSM
34.9,0.0,,,,,0,NO_VALID_DSM
35.0,0.0,,,,,0,NO_VALID_DSM
35.1,0.0,,,,,0,NO_VALID_DSM
35.2,0.0,,,,,0,NO_VALID_DSM
35.3,0.0,,,,,0,NO_VALID_DSM
35.4,0.0,,,,,0,NO_VALID_DSM
35.5,0.0,,,,,0,NO_VALID_DSM
35.6,0.0,,,,,0,NO_VALID_DSM
35.7,0.0,,,,,0,NO_VALID_DSM
35.8,0.0,,,,,0,NO_VALID_DSM
35.9,0.0,,,,,0,NO_VALID_DSM
36.0,0.0,,,,,0,NO_VALID_DSM
36.1,0.0,,,,,0,NO_VALID_DSM
36.2,0.0,,,,,0,NO_VALID_DSM
36.3,0.0,,,,,0,NO_VALID_DSM
36.4,0.0,,,,,0,NO_VALID_DSM
36.5,0.0,,,,,0,NO_VALID_DSM
36.6,0.0,,,,,0,NO_VALID_DSM
36.7,0.0,,,,,0,NO_VALID_DSM
36.8,0.0,,,,,0,NO_VALID_DSM
36.9,0.0,,,,,0,NO_VALID_DSM
37.0,0.0,,,,,0,NO_VALID_DSM
37.1,0.0,,,,,0,NO_VALID_DSM
37.2,0.0,,,,,0,NO_VALID_DSM
37.3,0.0,,,,,0,NO_VALID_DSM
37.4,0.0,,,,,0,NO_VALID_DSM
37.5,0.0,,,,,0,NO_VALID_DSM
37.6,0.0,,,,,0,NO_VALID_DSM
37.7,0.0,,,,,0,NO_VALID_DSM
37.8,0.0,,,,,0,NO_VALID_DSM
37.9,0.0,,,,,0,NO_VALID_DSM
38.0,0.0,,,,,0,NO_VALID_DSM
38.1,0.0,,,,,0,NO_VALID_DSM
38.2,0.0,,,,,0,NO_VALID_DSM
38.3,0.0,,,,,0,NO_VALID_DSM
38.4,0.0,,,,,0,NO_VALID_DSM
38.5,0.0,,,,,0,NO_VALID_DSM
38.6,0.0,,,,,0,NO_VALID_DSM
38.7,0.0,,,,,0,NO_VALID_DSM
38.8,0.0,,,,,0,NO_VALID_DSM
38.9,0.0,,,,,0,NO_VALID_DSM
39.0,0.0,,,,,0,NO_VALID_DSM
39.1,0.0,,,,,0,NO_VALID_DSM
39.2,0.0,,,,,0,NO_VALID_DSM
39.3,0.0,,,,,0,NO_VALID_DSM
39.4,0.0,,,,,0,NO_VALID_DSM
39.5,0.0,,,,,0,NO_VALID_DSM
39.6,0.0,,,,,0,NO_VALID_DSM
39.7,0.0,,,,,0,NO_VALID_DSM
39.8,0.0,,,,,0,NO_VALID_DSM
39.9,0.0,,,,,0,NO_VALID_DSM
40.0,0.0,,,,,0,NO_VALID_DSM
40.1,0.0,,,,,0,NO_VALID_DSM
40.2,0.0,,,,,0,NO_VALID_DSM
40.3,0.0,,,,,0,NO_VALID_DSM
40.4,0.0,,,,,0,NO_VALID_DSM
40.5,0.0,,,,,0,NO_VALID_DSM
40.6,0.0,,,,,0,NO_VALID_DSM
40.7,0.0,,,,,0,NO_VALID_DSM
40.8,0.0,,,,,0,NO_VALID_DSM
40.9,0.0,,,,,0,NO_VALID_DSM
41.0,0.0,,,,,0,NO_VALID_DSM
41.1,0.0,,,,,0,NO_VALID_DSM
41.2,0.0,,,,,0,NO_VALID_DSM
41.3,0.0,,,,,0,NO_VALID_DSM
41.4,0.0,,,,,0,NO_VALID_DSM
41.5,0.0,,,,,0,NO_VALID_DSM
41.6,0.0,,,,,0,NO_VALID_DSM
41.7,0.0,,,,,0,NO_VALID_DSM
41.8,0.0,,,,,0,NO_VALID_DSM
41.9,0.0,,,,,0,NO_VALID_DSM
42.0,0.0,,,,,0,NO_VALID_DSM
42.1,0.0,,,,,0,NO_VALID_DSM
42.2,0.0,,,,,0,NO_VALID_DSM
42.3,0.0,,,,,0,NO_VALID_DSM
42.4,0.0,,,,,0,NO_VALID_DSM
42.5,0.0,,,,,0,NO_VALID_DSM
42.6,0.0,,,,,0,NO_VALID_DSM
42.7,0.0,,,,,0,NO_VALID_DSM
42.8,0.0,,,,,0,NO_VALID_DSM
42.9,0.0,,,,,0,NO_VALID_DSM
43.0,0.0,,,,,0,NO_VALID_DSM
43.1,0.0,,,,,0,NO_VALID_DSM
43.2,0.0,,,,,0,NO_VALID_DSM
43.3,0.0,,,,,0,NO_VALID_DSM
43.4,0.0,,,,,0,NO_VALID_DSM
43.5,0.0,,,,,0,NO_VALID_DSM
43.6,0.0,,,,,0,NO_VALID_DSM
43.7,0.0,,,,,0,NO_VALID_DSM
43.8,0.0,,,,,0,NO_VALID_DSM
43.9,0.0,,,,,0,NO_VALID_DSM
44.0,0.0,,,,,0,NO_VALID_DSM
44.1,0.0,,,,,0,NO_VALID_DSM
44.2,0.0,,,,,0,NO_VALID_DSM
44.3,0.0,,,,,0,NO_VALID_DSM
44.4,0.0,,,,,0,NO_VALID_DSM
