Azimut,Altitud_grados,Distancia_m,Cota_m
1.39500,3.14810,108.60,106.256
1.40000,3.14810,108.60,106.256
1.40500,3.14810,108.60,106.256
1.41000,3.14810,108.60,106.256
1.41500,3.14810,108.60,106.256
1.42000,3.14810,108.60,106.256
1.42500,3.14810,108.60,106.256
1.43000,3.14810,108.60,106.256
1.43500,3.14810,108.60,106.256
1.44000,3.14810,108.60,106.256
1.44500,3.14810,108.60,106.256
1.45000,3.14810,108.60,106.256
1.45500,3.14810,108.60,106.256
1.46000,3.14810,108.60,106.256
1.46500,3.14810,108.60,106.256
1.47000,3.14810,108.60,106.256
1.47500,3.14810,108.60,106.256
1.48000,3.14810,108.60,106.256
1.48500,3.14810,108.60,106.256
1.49000,3.14810,108.60,106.256
1.49500,3.14810,108.60,106.256
1.50000,3.14810,108.60,106.256
1.50500,3.14810,108.60,106.256
1.51000,3.14810,108.60,106.256
1.51500,3.14810,108.60,106.256
1.52000,3.14810,108.60,106.256
1.52500,3.14810,108.60,106.256
1.53000,3.14810,108.60,106.256
1.53500,3.14810,108.60,106.256
1.54000,3.14810,108.60,106.256
1.54500,3.14810,108.60,106.256
1.55000,3.14810,108.60,106.256
1.55500,3.14810,108.60,106.256
1.56000,3.14810,108.60,106.256
1.56500,3.14810,108.60,106.256
1.57000,3.14810,108.60,106.256
1.57500,3.14810,108.60,106.256
1.58000,3.14810,108.60,106.256
1.58500,3.01148,108.10,105.970
1.59000,3.01148,108.10,105.970
1.59500,2.96765,108.60,105.913
1.60000,2.96765,108.60,105.913
1.60500,2.96765,108.60,105.913
1.61000,2.96765,108.60,105.913
1.61500,2.96765,108.60,105.913
1.62000,2.96765,108.60,105.913
1.62500,2.96765,108.60,105.913
1.63000,2.96765,108.60,105.913
1.63500,2.96765,108.60,105.913
1.64000,2.96765,108.60,105.913
1.64500,2.96765,108.60,105.913
1.65000,2.96765,108.60,105.913
1.65500,2.96765,108.60,105.913
1.66000,2.96765,108.60,105.913
1.66500,2.96765,108.60,105.913
1.67000,2.96765,108.60,105.913
1.67500,2.96765,108.60,105.913
1.68000,2.96765,108.60,105.913
1.68500,2.96765,108.60,105.913
1.69000,2.96765,108.60,105.913
1.69500,2.96765,108.60,105.913
1.70000,2.96765,108.60,105.913
1.70500,2.96765,108.60,105.913
1.71000,2.96765,108.60,105.913
1.71500,2.96765,108.60,105.913
1.72000,2.96765,108.60,105.913
1.72500,2.96765,108.60,105.913
1.73000,2.96765,108.60,105.913
1.73500,2.96765,108.60,105.913
1.74000,2.96765,108.60,105.913
1.74500,2.96765,108.60,105.913
1.75000,2.96765,108.60,105.913
1.75500,2.96765,108.60,105.913
1.76000,2.96765,108.60,105.913
1.76500,2.96765,108.60,105.913
1.77000,2.96765,108.60,105.913
1.77500,2.96765,108.60,105.913
1.78000,2.96765,108.60,105.913
1.78500,2.96765,108.60,105.913
1.79000,2.96765,108.60,105.913
1.79500,2.96765,108.60,105.913
1.80000,2.96765,108.60,105.913
1.80500,2.96765,108.60,105.913
1.81000,2.96765,108.60,105.913
1.81500,2.96765,108.60,105.913
1.82000,2.96765,108.60,105.913
1.82500,2.96765,108.60,105.913
1.83000,2.96765,108.60,105.913
1.83500,2.96765,108.60,105.913
1.84000,2.96765,108.60,105.913
1.84500,2.96765,108.60,105.913
1.85000,2.39062,108.10,104.796
1.85500,2.39062,108.10,104.796
1.86000,2.37142,107.60,104.739
1.86500,2.34570,111.10,104.834
1.87000,2.34570,111.10,104.834
1.87500,2.34570,111.10,104.834
1.88000,2.34570,111.10,104.834
1.88500,2.34570,111.10,104.834
1.89000,2.34570,111.10,104.834
1.89500,2.34570,111.10,104.834
1.90000,2.34570,111.10,104.834
1.90500,2.34570,111.10,104.834
1.91000,2.34570,111.10,104.834
1.91500,2.34570,111.10,104.834
1.92000,2.34570,111.10,104.834
1.92500,2.34570,111.10,104.834
1.93000,2.34570,111.10,104.834
1.93500,2.34570,111.10,104.834
1.94000,2.34570,111.10,104.834
1.94500,2.34570,111.10,104.834
1.95000,2.34570,111.10,104.834
1.95500,2.34570,111.10,104.834
1.96000,2.34570,111.10,104.834
1.96500,2.34570,111.10,104.834
1.97000,2.34570,111.10,104.834
1.97500,2.34570,111.10,104.834
1.98000,2.34570,111.10,104.834
1.98500,2.34570,111.10,104.834
1.99000,2.34570,111.10,104.834
1.99500,2.34570,111.10,104.834
2.00000,2.34570,111.10,104.834
2.00500,2.34570,111.10,104.834
2.01000,2.34570,111.10,104.834
2.01500,2.34570,111.10,104.834
2.02000,2.34570,111.10,104.834
2.02500,2.34570,111.10,104.834
2.03000,2.34570,111.10,104.834
2.03500,2.34570,111.10,104.834
2.04000,2.34570,111.10,104.834
2.04500,2.34570,111.10,104.834
2.05000,2.34570,111.10,104.834
2.05500,2.34570,111.10,104.834
2.06000,2.34570,111.10,104.834
2.06500,1.68452,120.10,103.815
2.07000,1.68452,120.10,103.815
2.07500,1.68452,120.10,103.815
2.08000,1.68452,120.10,103.815
2.08500,1.68452,120.10,103.815
2.09000,1.68452,120.10,103.815
2.09500,1.68452,120.10,103.815
2.10000,1.68452,120.10,103.815
2.10500,1.72939,109.00,103.574
2.11000,1.73416,108.70,103.574
2.11500,1.82397,108.40,103.735
2.12000,1.82734,108.20,103.735
2.12500,1.83242,107.90,103.735
2.13000,1.83582,107.70,103.735
2.13500,1.86386,107.40,103.778
2.14000,1.86733,107.20,103.778
2.14500,1.86907,107.10,103.778
2.15000,1.86907,107.10,103.778
2.15500,1.86907,107.10,103.778
2.16000,1.86907,107.10,103.778
2.16500,1.86907,107.10,103.778
2.17000,1.86907,107.10,103.778
2.17500,1.86907,107.10,103.778
2.18000,1.86907,107.10,103.778
2.18500,1.86907,107.10,103.778
2.19000,1.86907,107.10,103.778
2.19500,1.86907,107.10,103.778
2.20000,1.86907,107.10,103.778
2.20500,1.86907,107.10,103.778
2.21000,1.86907,107.10,103.778
2.21500,1.86907,107.10,103.778
2.22000,1.86907,107.10,103.778
2.22500,1.86907,107.10,103.778
2.23000,1.86907,107.10,103.778
2.23500,1.86907,107.10,103.778
2.24000,1.86907,107.10,103.778
2.24500,1.86907,107.10,103.778
2.25000,1.86907,107.10,103.778
2.25500,1.86907,107.10,103.778
2.26000,1.86907,107.10,103.778
2.26500,1.86907,107.10,103.778
2.27000,1.86907,107.10,103.778
2.27500,1.86907,107.10,103.778
2.28000,1.86907,107.10,103.778
2.28500,1.86907,107.10,103.778
2.29000,1.86907,107.10,103.778
2.29500,1.86907,107.10,103.778
2.30000,1.86907,107.10,103.778
2.30500,1.86907,107.10,103.778
2.31000,1.86907,107.10,103.778
2.31500,1.86907,107.10,103.778
2.32000,1.86907,107.10,103.778
2.32500,1.86907,107.10,103.778
2.33000,1.86907,107.10,103.778
2.33500,1.86907,107.10,103.778
2.34000,1.86907,107.10,103.778
2.34500,1.86907,107.10,103.778
2.35000,1.86907,107.10,103.778
2.35500,1.86907,107.10,103.778
2.36000,1.86907,107.10,103.778
2.36500,1.86907,107.10,103.778
2.37000,1.86907,107.10,103.778
2.37500,1.86907,107.10,103.778
2.38000,1.86907,107.10,103.778
2.38500,1.86907,107.10,103.778
2.39000,1.86907,107.10,103.778
2.39500,1.86907,107.10,103.778
2.40000,1.86907,107.10,103.778
2.40500,1.86907,107.10,103.778
2.41000,1.99924,119.00,104.437
2.41500,2.00429,118.70,104.437
2.42000,2.00429,118.70,104.437
2.42500,2.00429,118.70,104.437
2.43000,2.00429,118.70,104.437
2.43500,2.00429,118.70,104.437
2.44000,2.00429,118.70,104.437
2.44500,2.00429,118.70,104.437
2.45000,2.00429,118.70,104.437
2.45500,2.00429,118.70,104.437
2.46000,2.00429,118.70,104.437
2.46500,2.00429,118.70,104.437
2.47000,2.00429,118.70,104.437
2.47500,2.00429,118.70,104.437
2.48000,2.00429,118.70,104.437
2.48500,2.00429,118.70,104.437
2.49000,2.00429,118.70,104.437
2.49500,2.00429,118.70,104.437
2.50000,2.00429,118.70,104.437
2.50500,2.00429,118.70,104.437
2.51000,2.00429,118.70,104.437
2.51500,2.00429,118.70,104.437
2.52000,2.00429,118.70,104.437
2.52500,2.00429,118.70,104.437
2.53000,2.00429,118.70,104.437
2.53500,2.00429,118.70,104.437
2.54000,2.00429,118.70,104.437
2.54500,2.00429,118.70,104.437
2.55000,2.00429,118.70,104.437
